epoch,L,E,T,V,H,X,cusp
0,30.945911941482137,30.945911941482137,33.278125553895734,-5.5001974360734085,3.167983823659817,-0.7740976493769554,0.0
1,3.1595407606982233,3.1595407606982233,5.400235658120474,-3.5106531595817283,1.2699582621594776,-0.31278864487919744,0.0
2,0.6546871717517588,0.6546871717517588,1.3011723153749786,-1.2772918821055403,0.6308067384823205,-0.15451626746269234,0.0
3,0.08594391668112666,0.08594391668112666,0.44492821114500086,-0.7069223695875568,0.3479380751236826,-0.09059327131526101,0.0
4,-0.10026254495907075,-0.10026254495907075,0.19345054328638606,-0.5345482724440835,0.24083518419862673,-0.06037304146517723,0.0
5,-0.1301664930014731,-0.1301664930014731,0.1171902457965131,-0.429427534844364,0.18207079604637783,-0.0473967311667433,0.0
6,-0.10551643907745416,-0.10551643907745416,0.09329888032962048,-0.3707705268152761,0.17195520740820144,-0.04240350910610606,0.0
7,-0.09147042783937553,-0.09147042783937553,0.08642796727651259,-0.32883615286865475,0.15093775775276663,-0.040556297899861385,0.0
8,-0.07233570533949642,-0.07233570533949642,0.08554442061502279,-0.3105773463039345,0.15269722034941532,-0.04018669569016907,0.0
9,-0.06218858222615437,-0.06218858222615437,0.08402796690670003,-0.29186863712047506,0.1456520879876206,-0.03979528290839963,0.0
10,-0.07549441860730685,-0.07549441860730685,0.0749164854376077,-0.29017857439551115,0.13976767035059662,-0.03771380087423866,0.0
11,-0.0892389712459927,-0.0892389712459927,0.06915284345337189,-0.29059961559380043,0.1322078008944359,-0.036268818389876306,0.0
12,-0.09385413313207924,-0.09385413313207924,0.06588571020868976,-0.29260201684633924,0.13286217350557028,-0.03547039669694899,0.0
13,-0.0913108742675644,-0.0913108742675644,0.06475942728125916,-0.29401947982429727,0.1379491782754737,-0.035293735760071165,0.0
14,-0.10114488523721643,-0.10114488523721643,0.06747556913560375,-0.3026373516647729,0.1340168972919527,-0.036030268272279994,0.0
15,-0.0995311003106627,-0.0995311003106627,0.06973013267443283,-0.3117836394095207,0.14252240642442518,-0.03659522260435315,0.0
