epoch,L,E,T,V,C,I,ci,logDetJac
0,-1.2371548528038336,0.3253738507854289,0.052688417895645434,-1.2898432706994791,1.5625287035892625,0.9995937701837028,0.0,-0.12096624211539769
1,7.5941961085461,16.254949365808855,9.431293011478651,-1.8370969029325508,8.660753257262753,0.9999494153626164,0.0,-0.11603235266846446
2,1.00242058085511,6.965905145075679,3.036840541465537,-2.034419960610427,5.963484564220568,1.0000422016965167,0.0,-0.04995443796124639
3,-1.2811155497392497,1.4895876892665274,0.3664202888227617,-1.6475358385620114,2.770703239005777,1.0000204455811659,0.0,0.02677807956102609
4,-1.1994416227033113,0.4760661742114223,0.09290654611058832,-1.2923481688138996,1.6755077969147336,1.0000192149451317,0.0,0.003244978882191869
5,-1.2840623713586865,0.3363532203279216,0.07069816661869513,-1.354760537977382,1.6204155916866083,1.0000005124304794,0.0,-0.07670570679215777
6,-1.4552757378915897,0.5164117575229474,0.12535415995640542,-1.5806298978479951,1.9716874954145371,0.99996447671631,0.0,-0.12809945069303819
7,-1.32968450133076,1.5661674968773405,0.33002586785527277,-1.6597103691860329,2.8958519982081006,0.9999717085253872,0.0,-0.13948361457240657
8,-1.3721079504918279,1.8554465046943942,0.3606622795763268,-1.7327702300681547,3.227554455186222,0.999984095502965,0.0,-0.12900696748151136
9,-1.5313409905902473,0.8571917137776275,0.254736856846705,-1.7860778474369523,2.388532704367875,1.0000168071805817,0.0,-0.09129473017262801
10,-1.5186040160038314,0.6715762011588977,0.17566121795763384,-1.6942652339614654,2.1901802171627294,1.0000438437708503,0.0,-0.08260776446551032
11,-1.4484955866037834,0.7542186936108899,0.17599120221094475,-1.6244867888147283,2.2027142802146735,1.0000417302706641,0.0,-0.10235314212369262
12,-1.467843295799779,0.8113403676068072,0.231873171807269,-1.6997164676070478,2.279183663406586,1.0000066521502493,0.0,-0.13271474511296658
13,-1.5243806437667313,1.3427860910329796,0.3176002371427447,-1.841980880909476,2.867166734799711,0.9999825564746231,0.0,-0.14621541097389645
14,-1.5504928825989508,1.190182426044849,0.3049777848604356,-1.8554706674593864,2.7406753086438,0.9999912160809937,0.0,-0.14027388277408048
15,-1.5677396367636705,0.6505156182649794,0.2086656295495204,-1.7764052663131908,2.21825525502865,1.0000007302423186,0.0,-0.11940268528111356
16,-1.5349411505423274,0.7592899856501814,0.13334695078681047,-1.668288101329138,2.2942311361925087,1.0000006482776262,0.0,-0.12048302497313747
17,-1.5351145989121147,0.7493997614504604,0.12590138494473713,-1.661015983856852,2.284514360362575,0.9999919277441125,0.0,-0.14164613082767297
18,-1.5613238206895528,0.6797711047655446,0.16549546886269687,-1.7268192895522496,2.2410949254550974,0.9999992971954454,0.0,-0.16688289155314867
19,-1.578836483986997,0.7664493003879884,0.25465517212798977,-1.8334916561149868,2.3452857843749855,0.9999996476285071,0.0,-0.17619998610994997
20,-1.5578288530553515,1.258544659370247,0.2693183282984789,-1.8271471813538303,2.8163735124255984,1.0000011188618374,0.0,-0.17724027423995697
21,-1.568855551613965,1.0757399821915374,0.237377130625058,-1.806232682239023,2.6445955338055023,0.999998179801324,0.0,-0.18454467006499525
22,-1.5805706522314784,0.8888138508053434,0.20928325982705293,-1.7898539120585313,2.4693845030368218,0.9999853386068475,0.0,-0.2022520027803679
