epoch,L,E,T,V,H,X
0,39.19655465291225,45.41561010500511,43.67626355497637,-4.480419511398872,7.106093347516873,-0.886327286089255
1,-0.526586672054538,1.0205477597960093,0.466164198569324,-0.9929149665083827,1.6409588452056794,-0.09366031747061168
2,-0.18254823980142082,0.8440763249438424,0.21023418348045722,-0.3928913462757633,1.0892299388523303,-0.06249645111318183
3,-0.17589664130442645,0.4931106386656939,0.0942626489937488,-0.27023039134752197,0.7110104934672591,-0.041932112447792096
4,-0.1935778049215824,0.42733821170049835,0.05904366819625509,-0.25268691183773373,0.6543871989626011,-0.03340574362062409
5,-0.18720756518707,0.4143705589586202,0.05992981755164332,-0.2472009084190892,0.6352568037584092,-0.033615153932343086
6,-0.1944620263445688,0.4949017338321584,0.07028006604922796,-0.26481467245969603,0.7258006589928303,-0.036364318750203996
7,-0.23472533604981108,0.4872051110201421,0.08263714803722659,-0.31743863529303745,0.761512059997536,-0.03950546172158299
8,-0.34470849704021367,0.6264443387228633,0.1276655448878274,-0.47247611274469076,1.020708166497018,-0.04945325991729123
9,-0.481418079174377,0.9985940031605081,0.4008235317283123,-0.8823983158620978,1.567049594083724,-0.08688080678943037
10,-0.2306651705479978,2.3087655416527744,1.897587493112912,-2.1285253285260843,2.726648651747535,-0.18694527468158811
11,2.432800682057417,5.949206552648876,4.504989005549287,-2.0725685693189453,3.8024582707455217,-0.2856721543269869
12,2.622889532817169,6.152569650143899,4.60096673221915,-1.9784590552888104,3.8185588682912597,-0.2884968950776997
13,0.5513949588386953,3.5515180915113165,2.478389255357321,-1.927315573169471,3.2127665084520514,-0.21232209912858463
14,-0.6853381270915642,1.4961600431748805,0.9448208416639361,-1.6303903903811803,2.3142162568005014,-0.13248666490837685
15,-0.3853479335305142,1.2311411147476696,0.4707285850060966,-0.8562475349752171,1.710164386061009,-0.09350432134421899
16,-0.3174262783100601,0.966975573908421,0.25843716616728196,-0.575998862576119,1.3541809877680122,-0.06964371745075426
17,-0.329844703657887,0.6615408990734359,0.15338465846262425,-0.48333390266884657,1.0454054833531379,-0.0539153400734795
18,-0.3365065317699082,0.6261853010380509,0.12509351306355426,-0.46170122831594673,1.0118348248430276,-0.049041808552584186
19,-0.35731291923773434,0.6388123240874439,0.1423624968558234,-0.49978026905479167,1.0485296123384,-0.05229951605198811
20,-0.43770978120237425,0.8132753666581909,0.21018073694541312,-0.6480219635757076,1.3144542792031038,-0.06333768591461855
21,-0.5225117366339876,1.014780595406803,0.3938300693741099,-0.916504166655637,1.6236064753945545,-0.08615178270622426
22,-0.3701234767473074,1.668875852611539,0.865801990635356,-1.236141977589552,2.165102068885102,-0.12588622931936683
23,-0.0648651928182035,2.3945336498067142,1.539153045929309,-1.6042809748569207,2.627361094082173,-0.16769951534784727
24,-0.20804994315783493,2.384745398246244,1.753810028569454,-1.9621371856944883,2.7721396719946894,-0.17906711662341107
25,-0.26373822312098183,2.3775152088401166,1.4883115422052302,-1.7523304388650276,2.806735388154455,-0.16520128265454093
26,-0.49349525697174723,1.6515438995532747,0.9843862632283089,-1.478109499697869,2.279794978128887,-0.13452784210605212
27,-0.5884757214398111,1.2237817549904664,0.5981667089877527,-1.186834264950062,1.918345224982366,-0.10589591402959042
28,-0.532244618909038,0.9357349773129746,0.3379598324930484,-0.8703592248886847,1.5477348659816945,-0.07960049627308341
29,-0.4999082459892946,0.829453779677696,0.2818417387849974,-0.7818902398541766,1.4025507988466306,-0.0730485180997556
30,-0.511427291100341,0.7718292316077149,0.2787093263294974,-0.7902722238616249,1.356064317865063,-0.07267218872522067
31,-0.5708411917832161,0.9230376710192634,0.3631609844703542,-0.9341598625668359,1.5768631326552502,-0.08282658353950538
32,-0.6399154944607286,1.2009702962950934,0.6445761913237135,-1.2846867229818488,1.9503719740701198,-0.1092911461168909
33,-0.6181999323019257,1.6251670250732033,1.155986341022307,-1.774425187982601,2.3891465836810455,-0.14554071164754825
34,-0.39081712383992817,2.101658760518202,1.4505330305269497,-1.8416155833638377,2.6542899695984237,-0.16154865624333337
35,-0.4775545278290848,2.0550031496911902,1.3625174206352142,-1.8403410398083455,2.690913440465107,-0.15808667160078588
36,-0.710249142081006,1.4221503287977932,0.8931947400147334,-1.6036699241958101,2.2604210007073853,-0.12779548772851518
37,-0.5071639174962173,1.270167868207214,0.5918308657843065,-1.0991829899967276,1.882067162036643,-0.10454716961700806
38,-0.42826599132436716,1.1282469230160204,0.4086997311965185,-0.8371301301092535,1.6440758836783118,-0.08739856174955618
39,-0.464738923827436,0.8363977945527421,0.2611216842969021,-0.7259977591486286,1.3715102429061838,-0.07023637350171513
40,-0.5048950872870255,0.7025065237363487,0.21493125578542932,-0.7199535180773231,1.2717500486832372,-0.06422126265499464
41,-0.5273867362862845,0.7323849418101944,0.2579143430934483,-0.785434044930378,1.3296555064530806,-0.06975086280595633
42,-0.5333141956836728,0.9985647068325925,0.4228183580908943,-0.956294558767717,1.6200499314987078,-0.08800902398929313
43,-0.5748301132415645,1.3018164545472282,0.7199848443419522,-1.2950141187260324,1.9916114251565908,-0.11476569622528263
44,-0.6887717177195875,1.5000820623363702,1.0148523667229141,-1.703856564067414,2.3247962491218246,-0.13570998944095503
45,-0.29960485765457073,2.124327780031424,1.2203174461300892,-1.520179558225695,2.5725444103520783,-0.1483545182250478
