epoch,L,E,T,V,C,I,ci,logDetJac
0,-0.09776477824239047,3.338646990178023,1.5424755321232189,-1.6402403103656094,3.4364117684204136,0.999990835337591,0.0,0.05549444174108217
1,-1.2695698239852597,-0.2506053040246612,0.049631538194306234,-1.3192013621795655,1.0189645199605981,1.0000100958652167,0.0,0.008599323505797424
2,-1.33894922830384,-0.27086273749413703,0.06319705644441918,-1.4021462847482593,1.0680864908097032,1.0000243539346585,0.0,-0.1521631349366951
3,-1.5174295190029212,0.225139906393941,0.2134212063700292,-1.7308507253729504,1.7425694253968622,0.9999926037917914,0.0,-0.18872472086003225
4,-1.518964344134746,0.7215336463870881,0.3042202215572942,-1.82318456569204,2.240497990521834,1.0000130774648917,0.0,-0.159360439859309
5,-1.4955054027112211,0.328500967283766,0.2191291001937326,-1.714634502904954,1.8240063699949873,1.0000088333153165,0.0,-0.1840226893648663
6,-1.528531041862467,0.2505445235192696,0.21250211411493333,-1.7410331559774004,1.7790755653817367,0.9999961174938163,0.0,-0.2405683002922965
7,-1.5609579145963879,0.4600109769650218,0.26486242023797496,-1.8258203348343627,2.0209688915614095,0.9999948222825369,0.0,-0.24617939768125405
8,-1.5639820878538113,0.6543253160524778,0.20950746566213435,-1.7734895535159456,2.218307403906289,0.9999959193618173,0.0,-0.21981021870163323
9,-1.5484809539667737,0.16057847622609822,0.14701730103891786,-1.6954982550056914,1.7090594301928719,0.9999967172106683,0.0,-0.23326853348158688
10,-1.530674380935642,0.18657958770437721,0.14715639366234318,-1.677830774597985,1.717253968640019,0.9999923545590794,0.0,-0.28115105580697597
11,-1.564286943124193,0.4016826267244651,0.2064422461491589,-1.7707291892733517,1.965969569848658,0.9999757336922557,0.0,-0.3176717787384611
12,-1.54388979913004,0.5532769058334499,0.31624042195234553,-1.8601302210823856,2.09716670496349,0.9999779931773907,0.0,-0.319275448111502
13,-1.4891595036257974,0.8268347253420316,0.3265230513585479,-1.8694386133431475,2.369750287326631,0.9999951880008472,0.022684271269546086,-0.2960586003518988
14,-1.4176169832039967,0.7339808861110089,0.26417246736110955,-1.7807753153208128,2.250583734070712,0.9999982151650074,0.043982307015374755,-0.28306558375611973
15,-1.3950058804102596,0.17726945876914835,0.20654865960112806,-1.7488298433319465,1.7195506424999667,0.9999912835857176,0.08564755214562503,-0.2899198022184129
16,-1.3182326049624913,0.0852780390681267,0.18414421377450624,-1.7420500312242873,1.6431838565179078,0.9999859992940296,0.14585903551607682,-0.3100146615555801
17,-1.0476599381680884,0.6477248901982686,0.2045783296829506,-1.7359699368112536,2.1791164973265715,0.9999912548607138,0.22198522637668805,-0.2997057732278014
18,-0.9700925675405261,0.3098606354051514,0.1933764037579117,-1.7404016372352817,1.8568858688825214,0.99999755187766,0.3106990448928578,-0.25946206647412706
19,-0.8846585188684694,0.004537316126387081,0.13830443069638562,-1.636099935201925,1.5023328206319264,0.9999899710174864,0.40812327149929806,-0.1851189646999547
20,-0.6860430273174907,-0.04413112825156951,0.09008562538730433,-1.4442410374468762,1.3100242838080023,0.9999806791152314,0.51,-0.13486178640237073
21,-0.5950284564644466,-0.13752406827344155,0.07068422484567471,-1.3869688101674549,1.1787605170483386,0.999986149224668,0.6118767285007021,-0.12802282653615682
22,-0.4917751905072753,-0.1450678115367814,0.06960487960624186,-1.4073404520511432,1.19266776090812,0.9999963828201801,0.7093009551071421,-0.16144655139445227
23,-0.3393728500756688,-0.06656612956129004,0.08244621327905967,-1.4996394426937485,1.3506270998533987,0.9999999685173966,0.7980147736233117,-0.1828602900680136
24,-0.00836413280143139,0.20371658583772834,0.09423725664894919,-1.5755861710316559,1.685065500220435,1.0000004416900445,0.8741409644839232,-0.15595482585089926
25,-0.22299899036551193,-0.22299899036551185,0.08788684435109761,-1.5609290761528865,1.250043241436277,0.9999964310519271,1.0,-0.08099555647834147
26,-0.07059597135424543,-0.07059597135424522,0.06134329164537789,-1.4139280308117388,1.2819887678121156,0.9999758610834169,1.0,0.05366954522658937
27,-0.2344155126964693,-0.23441551269646932,0.03963159257968634,-1.1680678494495411,0.8940207441733854,0.9999669778779883,1.0,0.1335336337128514
28,-0.06981431012836642,-0.06981431012836625,0.03156164952599576,-1.0466286910483542,0.9452527313939921,0.999962641589606,1.0,0.14318818395951954
29,-0.026225947862978195,-0.02622594786297805,0.03002386648839333,-1.0768697318048037,1.0206199174534323,0.9999709502115248,1.0,0.09624325742990131
30,-0.14547442277463846,-0.1454744227746384,0.03455155503038993,-1.1181895626466,0.9381635848415718,0.9999992281289181,1.0,0.011739172424879003
31,-0.19933103501659563,-0.19933103501659555,0.05894625505971113,-1.3198168361920493,1.0615395461157426,1.0000075442724101,1.0,-0.010381499633613744
32,0.006586304544759974,0.006586304544760058,0.08367266192655493,-1.4475806640191116,1.3704943066373168,1.0000115748545098,1.0,0.015069383621695076
33,-0.025063948743077026,-0.025063948743077047,0.08089655579926301,-1.434675402525464,1.328714897983124,0.9999942994207716,1.0,0.08610278576392602
34,-0.24748653192038061,-0.2474865319203805,0.0621538190491681,-1.3693110080586028,1.0596706570890542,0.9999501162554085,1.0,0.21325108855271566
35,-0.3358519361496431,-0.3358519361496428,0.03550233095534565,-1.1860678201397177,0.8147135530347291,0.999897087081044,1.0,0.28140049096419506
36,-0.2005511025168858,-0.2005511025168858,0.02947001401515313,-1.0729302678740646,0.8429091513420257,0.999894270981646,1.0,0.2839036432972011
37,-0.38180264241003803,-0.3818026424100378,0.031725866969968194,-1.1213850510350025,0.7078565416549965,0.9999506774115429,1.0,0.22729036585616239
