step 0, L: 180.223, E:180.223            T: 127.08187, V: -5.43562, H: 60.71540, X: -2.13857, cusp: 0.00000
step 0, L: 180.216, E:180.216            T: 127.08187, V: -5.44319, H: 60.71540, X: -2.13857, cusp: 0.00000
step 0, L: 180.216, E:180.216            T: 127.08187, V: -5.44319, H: 60.71540, X: -2.13857, cusp: 0.00000
step 0, L: 180.216, E:180.216            T: 127.08187, V: -5.44312, H: 60.71540, X: -2.13857, cusp: 0.00000
step 0, L: 180.216, E:180.216            T: 127.08187, V: -5.44312, H: 60.71540, X: -2.13857, cusp: 0.00000
step 0, L: 180.223, E:180.223            T: 127.08187, V: -5.43562, H: 60.71540, X: -2.13857, cusp: 0.00000
step 0, L: 191.759, E:191.759            T: 127.08187, V: -5.43562, H: 72.25146, X: -2.13857, cusp: 0.00000
step 0, L: 131.040, E:131.040            T: 127.08187, V: -5.43562, H: 11.53260, X: -2.13857, cusp: 0.00000
step 0, L: 131.040, E:131.040            T: 127.08187, V: -5.43562, H: 11.53260, X: -2.13857, cusp: 0.00000
